Date,Time,Town,County,Occupation,Description
2001-01-13,05:22 Farnborough,,Hampshire,,Bright lights were seen in the sky. Then followed what looked like people climbing down webbing into the house.
2001-01-13,19:00 Liverpool,,Merseyside,,One square shaped object. Orange light in the middle. Was moving from South to the North and then to the West.
2001-02-08,19:30,,Staffordshire,,"Object, burning up in the sky, breaking into two-three pieces, looked like a shooting star, but lower in sky. Turned green."
2001-02-08,20:00 Preston,,Lancashire,,"Orange ball in the sky, looked to be on fire. Was coming from an Easterly direction."
2001-02-08,19:40 Lincoln,,Lincolnshire,,The object looked like a rocket. Had a white/orange glow.
2001-02-08,19:20 Duffield,,Derbyshire,,"Large blue, fluorescent, cigar shaped object. The object hovered and then moved away quickly."
2001-02-08,19:42 Wrangle,,Lincolnshire,,"Bright ball one end, about the size of a tennis ball, which was lit up. Behind it, a long tail tapered off with a smaller ball at the end of the object."
2001-02-08,19:45 Scunthorpe,,Lincolnshire,,White ball of light. Was moving from West to East. Stopped and then went up into the sky vertically.
2001-02-08,19:40 Aldborough,,East Yorkshire,,"One, main object which was very bright. White in colour. Stationary"
2001-02-08,19:40,,West Yorkshire,,A huge fireball streaking across the skies of West Yorkshire.
2001-02-12,"19:30 Trehafod, Ponty Pridd",,Mid-Glamorgan,,One bright object. Looked star shaped. Rose fast in the sky and then disappeared.
2001-02-12,21:25 Colchester,,Essex,,"One, spherical, with a reddish hue. Very bright and visible the whole time. Zig zagged across the sky, and very fast."
2001-02-13,02:30 Morton,,Lincolnshire,,"Circle of flashing white light, shaped like a bracelet. Moved over to the right, then left. Lights turned green and red. NW direction."
2001-02-13,10:15 Saltash,,Cornwall,,One object. Point source of light. White in colour. Stationary for about 10 minutes.
2001-02-13,18:45 Liverpool,,Merseyside,,"Four, round objects with orange lights. Very bright. Were moving from left to right."
2001-02-13,22:10 Baschurch,,Shropshire,,"One object, the same size as a star. Multi coloured/very bright. Fluctuating/glowing. Blackhole in centre. Rapid movement."
2001-02-13,21:00 New Milton,,Hampshire,,"Bright orange ball in the sky, which 'hopped', before disappearing."
2001-03-01,19:00 Fleetwood,,Lancashire,,"An unconventional silent craft, consisting of four red lights, flying low over the witness's house."
2001-03-01,10:00 Holyhead,,North Wales,,Looked like a bright star. Had a pulsating red and green light. Was stationary and then moved off.
2001-03-01,19:05 Fleetwood,,Lancashire,,"Five flying saucers, that were orange in colour. They moved from East to West and then moved quickly over the sea."
2001-03-02,,,East Midlands,,A UFO was running parallel to the landing lanes of an East Midlands Jet. (Message taken 2 March 2001).
2001-05-07,20:30 Dersingham,,Norfolk,,"Large orange, tadpole shaped object with a long tail. Was followed shortly afterwards, by two more similar objects."
2001-07-25,14:10 Folkstone,,Kent,,One circular object with flashing bright lights. Was at a high altitude.
2001-08-04,00:40 Port Talbot,,Wales,,"Two large, shining golf ball like objects. They were moving in and out of the clouds."
2001-08-04,00:40 Rickmansworth,,Hertfordshire,,"One large, circular object and a number of small fragments, size of 10p pieces. White and a glow of red and blue. Very bright."
2001-08-04,02:30 Glasgow,,Scotland,,"Big bright, white light. A smaller white light was then moving towards and away from the bigger white light."
2001-08-06,16:30 Ashton-Under-Lyne,,Greater Manchester,,"The witness saw something that they could not identify, but it was not a plane."
2001-08-06,03:08 Berwick,,Northumbria,,"Two, stationary cone shaped objects. One below each other. They were extremely bright."
2001-09-03,12:00 Gosport,,Hampshire,,"A twinkling object in the air, in close proximity to a plane."
2002-02-15,15:56 Richmond,,,,"Very odd flashing light on a moving object, spinning above London, in the Westminster area."
2002-03-25,,18:50 Newport-on-Tay,Fife,,One bright orange/red cigar shaped object that was seen over the sea.
2002-08-10,23:00,,,,Lights circling and then reversing direction every few minutes.
2002-08-15,,21:55 Milton Keynes,Buckinghamshire,,Glowing orange boomerang shaped object. Was moving very fast.
2002-08-17,21:45 Hull,,East Yorkshire,,"Series of neon lights (between neon and gold) in two lines - objects were boomerang shaped, in a V formation."
2002-09-23,,17:40 Huddersfield,West Yorkshire,,"One silver cigar shaped object, that split into six small silver balls. They were travelling erratically, but remained as a group."
2002-09-23,,01:00 St John's Wood,London,,The object was a triangle shape with red flashing/alternating lights that went round the inside edges of the object.
2002-09-30,23:30 Cannock,,Staffordshire,,"The object looked like it was three times bigger than the size of a jumbo jet, like ""a gigantic flying piece of street""."
2002-12-19,06:30 Chaldon,,Surrey,,"Very bright object, with an orange/yellow triangle behind it."
2002-12-19,,06:30 Notting Hill,London,,"Very large object, falling like a shooting star. Flames were coming out of the back. (Could have been a satellite re-entering)."
2002-12-19,06:30 Brighton,,East Sussex,,"Large cylindrical object, white flowing light from the front and flames coming from the rear. Some noise, not loud."
2003-01-10,21:26 Blackpool,,Lancashire,,"One bright white object, hovering at first, then moving quickly."
2003-01-10,,22:00 Coaltown of Balgonie,Fife,,"Changing shape. Strong blue, green and red lights pulsating lights. Jumbo Jet sized."
2003-01-10,03:00 Brighton,,,,"Looked like a satellite re-entering, moving across the sky, then shot off like a shooting star."
2003-02-03,18:03 Stonehaven,,Grampian,,Three bright lights forming a triangle. Hovering not moving.
2003-02-25,,Leyland,Lancashire,,"Bright light lit up the curtains, and for a split second appeared to be heading for the window. Followed by a loud bang."
2003-04-23,03:58,,,,"Massive object, about the size of two football pitches, triangular shape. Took off very fast."
2003-07-15,22:05 Rhonda,,Mid-Glamorgan,,"Two round objects with legs, which were black and spinning."
2003-07-15,21:30,,Northamptonshire,,Saw the biggest white light that the witness had ever seen before. It shot off across the sky and then disappeared.
2003-07-15,03:25 Bermondsey,,London,,Assumed object to be a shooting star at first. No trail behind.
2003-09-19,21:00 Northolt,,London,,"One object. White brilliant light, flickering yellow and red. Extremely brighter than other stars around it. Moving from side to side."
2003-12-02,02:25 Bromley,,Kent,Police Officers/Police helicopter crew,There were 20-30 red flashing lights in the sky accompanied by a whirring noise.
2003-12-02,,Woodbridge,Suffolk,,"Looked like an unusual aircraft, but with strange lights."
2004-02-11,,14:00 Market Harborough,Leicestershire,,One large black triangular aircraft with three bright lights in a triangle formation. There was a rumbling sound.
2004-04-14,20:00 Lowestoft,,Suffolk,,Yellow light in a circular formation. The flash shot across the sky and the lights went out.
2004-04-14,,22:10 Leighton Buzzard,Bedfordshire,,"Large ball of light. Looked like a rocket. No sound generally, but at times, a slight whirring sound."
