Date,Time,Town,County,Occupation,Description
2008-09-04,22:15,Delabole,Cornwall,,"A bright orange light was seen. It started to 
move backwards, up and down and then 
started to wobble to and fro, very fast. It faded 
away, as though it was moving into the 
distance."
2008-09-04,21:30,Newington,Edinburgh,,"Ten to fifteen lights in groups of twos and 
threes, moving across the sky very slowly in 
an Easterly direction."
2008-09-13,Not stated,Delabole,Cornwall,,"Lights were seen in the sky, that were flying 
up in a straight line. They were completely 
silent."
2008-10-11,23:00,Croydon,London,,"A strange object was seen in the sky. It was 
around for several minutes, and then flew off."
2008-10-11,00:25,Middleton/Ilkley,West Yorkshire,,"There were five orange objects and then one 
orange 'blob' came into view."
2008-10-11,01:30,Norton/Stourbridge,West Midlands,,"An object that had a flat top and a rounded 
bottom. It was roughly the width of a 
combined semi detached house. There was a 
dim humming sound."
2008-10-18,23:00,Kendal,Cumbria,,"There was a quite low, red and an orange 
light. A bright, phosphorus white light fell from 
the orange light towards the ground, before 
disappearing. The red light was static 
throughout the sighting."
2008-12-26,Not stated,Farnham,Surrey,,"Two, red round lights. The objects were 
moving across the sky in different directions 
and then just disappeared."
2008-12-26,22:00,Gosport,Hampshire,,"A silent aircraft passed overhead. It was 
clearly visible like a shooting star, but with a 
smooth curving course."
2008-12-26,Not stated,Scunthorpe,Lincolnshire,,"Oval shaped, weird light in the sky. The object 
moved from right to left and was moving in a 
Westerly direction."
2008-12-26,Not stated,Shirley,West Midlands,,"A triangle shaped object, which had three 
white lights and one red light. There was no 
noise."
2023-01-09,22:30,Loughborough,Leicestershire,,"Twenty to twenty five lights were moving 
across the sky. They were in a uniformed 
lighting formation."
2023-01-09,22:30,Brill/Aylesbury,Buckinghamshire,,"A red light slow moving in the sky. The object 
was not terribly high up."
2023-01-09,22:05,Larkhall,Lanarkshire,,"One single round light. It was orange/red in 
colour. It was moving South East. There was 
no sound at all."
2023-01-09,Not stated,Burbage/Hinckley,Leicestershire,,"Two bright lights. It looked like a spectrum of 
light shone through the car."
2023-01-09,21:10,Argoed,West Glamorgan,,"Three bright orange lights/objects in the sky, 
about a mile away. One of the objects was 
black and disc shaped. It moved quick and 
was silent."
2023-01-09,21:56,Darlington,County Durham,,"Two objects that both had two lights on them. 
Each object was moving independently from 
the other. There was no sound."
2023-01-09,21:00,Emsworth,Hampshire,,"There was a bright yellow light in the sky. The 
object was approximately 12,000 ft up."
2009-01-01,21:30,South Malling/Lewes,East Sussex,,"Fifty nine lights in the sky that formed a 'V' 
shape. There were a few lights on their own. 
They were bright red and very big. They were 
silent."
2009-01-23,22:40,Middlesbrough,Middlesborough,,"The craft had bright green lights and a blue 
light that was moving quickly through the 
trees. It was very large and was moving 
extremely fast. It was silent."
2009-01-23,20:03,Laindon,Essex,,"Two large orange lights in the sky, were flying 
East rather quickly. One light flew around the 
other one, then they both moved away North, 
at a higher speed."
2009-01-23,00:10,Near Blackpool,Lancashire,,"An object, the shape of a chewing gum pack, 
black in colour and had three circles of lights 
underneath it, emitting a dull orange light. 
Was about 150 feet long and 50 feet wide."
2009-02-04,20:45,Cheltenham,Gloucestershire,,"There were five, what looked like strange 
orange fire balls. They were silent."
2009-02-16,21:30,Village of Llangwm,Pembrokeshire,,"A very bright light, which had a long white tail. 
It then shot across the sky and the whole field 
was lit up. The light then began to break up."
2009-02-16,23:45,Stratford upon Avon,Warwickshire,,"An orange ball. The object was stationary for 
about five minutes and then shot up into the 
sky, and out of view. There was no sound."
2009-02-26,Not stated,Wymondham,Norfolk,,"Seven strange orange lights. Moving at great 
speed. Appeared one by one and remained 
stationary for 30 minutes before disappearing."
2009-03-01,Not Stated,Brightlingsea,Essex,Police Officer,"Bright orange/yellow light in the sky. Quite 
large, 1500-2000 ft up. Moved very slowly in a 
half circle then stopped over the water 
between Brightlingsea & East Mersea. Shot 
straight up and dissappeared very fast."
2009-05-11,01:30,Not given,Not given,,"Over my house. It was massive. Unbelievable. The noise was 
incredible. I thought we were under nuclear attack."
2009-05-11,17:00,Nuneaton,Warwickshire,,"Five yellow/orange objects in formation. Moving east to west. Slow 
but straight flight."
2009-08-02,22:55,Brighton,Sussex,,"A bright flaming object, about a quarter of the size of the moon. It 
was like a special effect. It was silent and went from horizon to 
horizon, starting in the North."
2009-08-02,15:10,Basingstoke,Hampshire,,"Like a large black parachute with nothing suspended from it. It 
changed shape and gradually got smaller as it went into the 
distance. Observed for 10-20 minutes."
2009-08-02,01:22,Harrow,London,,"A long shaped vehicle with a red light at the front and two gold lights 
either side. Hovered above the house and then moved off to the 
right at tremendous speed before returning. It then drifted slowly 
away. It was louder than a plane or helicopter."
2009-08-02,20:30,Bury St Edmunds,Suffolk,"Former Air Traffic 
Controller","A large black ball with a light underneath. Travelling South over 
western Bury St Edmunds at 3000ft at 200 miles an hour."
2009-08-07,20:30,Sutton,Surrey,,"A bright green light that whizzed about the sky for an hour. It was 
very fast and a few planes got in its way."
2009-08-07,21:36,Chorley,Lancashire,,"Saw orange lights that looked like flames. They were heading South 
to North towards Preston. Police said it was the open rear of an 
aircraft undertaking parachute training."
2009-08-07,21:50,Upper Norwood,London,,"Six very bright orange lights flying in formation passed by in 15 
minutes. Heading from Upper Norwood towards Crystal Palace."
2009-08-07,22:00,Burbage,Wiltshire,,"Initially one then five pitch black hot air balloon shaped objects with 
continual flames underneath."
2009-08-07,23:00,Long Eaton,Nottinghamshire,,"A large bright yellow object hovering in the sky. Too bright to be an 
aircraft and the wrong colour. It didn't move for ages and then 
disappeared in the blink of an eye."
2009-08-07,23:30,Buckhurst Hill,Essex,,"A slow moving, silent, orangey/red light. Does not think it was a 
helicopter or aircraft. Flew at same height as a helicopter."
2009-08-10,17:55,St Helens,Merseyside,,"A UFO over the witnesses house. It was at 30,000ft and he has seen 
it before."
2009-08-10,22:00,Harlow,Essex,,"A diamond shaped orange light. If you held out your hand it would 
have been the size of a 20p coin. It was totally silent. The object 
carried on in the distance and then another one appeared and 
followed the same path."
2009-08-17,21:50,Petts Wood,Kent,,"8-10 bright red lights. They were hovering. They moved 
independently into the distance and disappeared when a light aircraft 
appeared."
2009-08-17,22:00,Deeside,Flintshire,,"Seven bright orange lights in the sky. Silent. Travelling towards the 
Wirral."
2009-08-17,10:00,Redruth,Cornwall,,A big bright light. Came from west Cornwall towards Plymouth.
2009-08-19,22:15,Long Eaton,Nottingham,,"An ellipse shaped object the size of a commercial plane. It was on 
fire. It glowed bright orange. It moved South East to North and then 
returned and hovered for at least a minute. Moved further away at 
supersonic speed."
2009-08-19,23:40,King's Lynn,Norfolk,,"Very strange circular objects without definite shape. They stayed 
around for about five minutes. They were 8-9 of them."
2009-08-19,22:00,Penzance,Cornwall,,"Ten orange lights in a line with intermittent gaps. They made no 
sound and flew at helicopter height."
2009-08-27,23:30,Ballynahinch,County Down,,"Three distinct sets of green, orange and white lights. Don't match 
any constellation and are in the wrong place. Static to the eye but 
with binoculars are moving at speed and at random."
2009-08-27,00:30,Chapel-en-le-Frith,Derbyshire,,"Was watching shooting stars when the witness saw two bright 
luminous orange objects like birds or swans. Does not think they 
were birds as they moved too fast."
2009-09-08,22:45,Swindon,Wiltshire,,"An orange light. Light(s) travelled in formation like a mis-shaped 
diamond. There were 12-13 of them. They travelled left to right."
2009-09-08,Not Given,Hope Valley,Derbyshire,,"Red objects moving slowly. They were not high and were silent. 
Might have been going over Bakewell."
2009-09-20,01:07,Perivale,Middlesex,,"Ball of light. No noise. Bright light, rising behind a fence, went up 
into the sky."
2009-09-20,23:01,Worthing,West Sussex,,"A large bright silver/white ball/sphere. Moving slowly W to E. the 
object was much bigger and brighter than an aircraft. It appeared to 
stop still several times as it went into the distance. The light did not 
dim as it moved further away."
2009-09-20,00:20,W1,London,,"Very bright, very big, not a satellite, not a plane, stationary. Light 
disappeared."
2009-09-20,01:00,Taunton,Somerset,,"Bright star, went from bright yellow to bright red. Did not look like a 
shooting star or plane. Moved no more than 2-3 feet."
2009-09-26,22:30,Ruislip,Middlesex,,"Three bright orange lights, not flashing. Very big, high up, set 
equally apart. Reported it to RAF Northolt. Never saw anything like 
this before."
2009-09-26,22:35,River Severn,Gloucestershire,,"A UFO of orangey/red colour. It hovered and moved slightly in the 
direction of Stroud, then suddenly dropped downwards."
2009-09-26,01:22,Newport,Gwent,,"A bright, reddish light travelling W to E, below cloud level. It made 
no sound. It was moving in a straight line but too slow to be a 
meteorite. It had no navigation type lights."
2009-09-26,09:01,Not Given,Not Given,,"10-12 bright orange objects, silent. Has a photo of them saved on 
his mobile."
2009-09-26,22:30,Sheffield,Yorkshire,,"Six yellow lights, stationary at first then moved off."
2009-09-26,22:55,Nottingham,Nottinghamshire,Ex-police,"Four-five orange lights, fluctuating lights. Lives under flight path of 
Donnington airfield. Objects moved in a line. Lights faded. Returned 
10 minutes later."
2009-09-26,23:00,Not Given,Cornwall,,"Video footage in Cornwall near an Air Station (possibly Culdrose). 
Five minute sighting."
2009-09-26,12:48,Hitchin,Hertfordshire,,"Large round object. Two planes flew round it. Could be something 
natural, such as an eclipse."
2009-09-26,Not Given,Ashburton,Devon,,"Light seen in sky also above this was a large round shape which 
looked rocky and was blue and pink in colour."
2009-09-26,10:03,Newmarket,Suffolk,,"15 to 20 orange and red lights looked as though they were coming 
down to land but then went over head and 'went out'."
2009-11-05,20:30,Dronfield,Derbyshire,,"Round shape - lightening then darkening with a dark shape behind it.  
No engine noise."
2009-11-05,21:29,Manor Park,London,,Saw a bright light heading towards Essex - bright light standing still.
2009-11-05,21:30,Not Given,Not Given,,"Orange ball going in a straight line.  No visible trail.  No smoke or 
noise. Appeared to be getting smaller burning itself up."
2009-11-05,Not Given,Sark,Guernsey,,"Saw what looked like a flying log, blue with a white edge."
2009-11-05,Not Given,Kings Lynn,Norfolk,,"Terrestrials seen coming from King's Lynn towards Swaffham, 
Norfolk."
2009-11-05,21:00,Kettering,Northamptonshire,,"Two glowing sphere/domed -shaped objects followed each in South 
East direction.  Completely silent and not flashing at all, as you 
would expect from aircraft."
2009-11-05,21:09,Plymouth,Devon,,"One object rising in the sky. Semi circle outline. Flames glowing 
orange/red.  Flickering round the edge. At first thought it was a 
firework, then it disappeared."
2009-11-05,21:40,Lyneham,Wiltshire,,"Orange lights following each other in same direction. No noise, no 
flashing lights, same trajectory. In vicinity of Lyneham radar.  Some 
lights disappeared."
2009-11-08,21:40,Not Given,Kent,,"Semi-circle of light, golden orange, moved off towards the east.  No 
noise heard."
2009-11-08,21:45,Oakwood,Essex,,"Saw 25 to 30 bright orange lights in the sky - Flying in a triangular 
shape."
2009-11-08,22:00,Frome,Somerset,,Fifteen to twenty bright vertical line going slowly - no noise.
2009-11-10,23:39,Rochdale,Lancashire,,"Five, really bright orange flame ball type objects seen flying across 
the sky, moving irregularly. One moving faster than a plane and one 
zig-zagged down towards the ground then reappeared after the other 
four had moved across the sky and had gone."
2009-11-10,20:30,Epsom,Surrey,,"Thirty orange globes, in four waves, travelling at a constant speed. 
May have been lanterns of some kind but they would have been 1-2 
Metres in diameter."
2009-11-10,21:15,Old Bilsthorpe,Nottinghamshire,,"Saw Orange flamed lights, in formation slowly and silently across 
the night sky."
