Date,Time,Town,County,Occupation,Description
2001-01-10,18:22 Norwich,,Norfolk,,"One object that looked a bit like a star at first. It then split into about half a dozen lights, before cloud crossed over them."
2001-01-10,18:30 Dundee,,Scotland,,Two objects. The first was triangular in shape and had three orange lights. The second was a bright white light.
2001-01-10,22:30 Chelmsford,,Essex,,"650-700 objects - appearance of clusters of stars. White and very bright. Arc from horizon to horizon, East to West."
2001-01-15,16:00 Reading,,Berkshire,,A bright light that was changing shape and moving fast. Was white in colour. Erratic movements.
2001-01-15,07:30 Kirkcaldy,,Scotland,,"Single object, bright, white light that appeared to be moving North. The object went very bright like an explosion."
2001-01-15,18:00 Southfields,,London,,"Very large white light, which turned the sky blue."
2001-01-25,16:40 St Andrews,,Fife,,Strobe effect lighting. One above the other. The object moved very fast.
2001-01-29,12:25 Dundee,,Scotland,,"One object, the size of a pin dot. Bright and shiny."
2001-02-09,20:23 Kiltarlity,,Inverness-Shire,,One multi-coloured object. Round at the front and tapered towards the tail. Was moving from left to right.
2001-02-09,06:15 Slough,,Middlesex,,Three elongated objects. They all had a white light at each end. They hovered and then moved in formation to the North.
2001-02-09,20:35 Stevenage,,Hertfordshire,,"One object, shaped like a half circle. There were three lights on it, changing from white to green to red. Whirring sound."
2001-02-09,07:30 South Kirkby,,West Yorkshire,,"A large orange ball, with a triangle like structure inside it and two white lights at the edge."
2001-02-13,02:30 Morton,,Lincolnshire,,"Circle of flashing white light, shaped like a bracelet. Moved over to the right, then left. Lights turned green and red. NW direction."
2001-02-13,10:15 Saltash,,Cornwall,,One object. Point source of light. White in colour. Stationary for about 10 minutes.
2001-02-13,18:45 Liverpool,,Merseyside,,"Four, round objects with orange lights. Very bright. Were moving from left to right."
2001-02-13,22:10 Baschurch,,Shropshire,,"One object, the same size as a star. Multi coloured/very bright. Fluctuating/glowing. Blackhole in centre. Rapid movement."
2001-02-13,21:00 New Milton,,Hampshire,,"Bright orange ball in the sky, which 'hopped', before disappearing."
2001-04-13,23:15 Doncaster,,South Yorkshire,,The object was high in the sky and was described as having headlights along the side of it.
2001-04-13,,Syderstone,Norfolk,,One bright light. Was low on the horizon. Was seen for about 20 minutes.
2001-05-06,19:50 Oxford,,Oxfordshire,,"One object, was white and bright. It had a halo above it. Was heading North West."
