Date,Time,Town,County,Occupation,Description
2001-01-11,11:20 Swinton,,Manchester,,Round silver ball. The object was moving horizontally.
2001-01-11,20:29 Blackpool,,Lancashire,,"White light flashing. Was a round shape. Was stationary, moved West and then disappeared."
2001-01-12,21:15 Tottingham,,East Yorkshire,,Seven objects flying in arrow formation. They were moving at high speed from South to North.
2001-01-12,23:20 Bootle,,Merseyside,,"One object, aircraft type shape. Dark red in colour, quite dim. No sound. Very high up. Moving in fast, small movements."
2001-01-12,,21:00 25-30 miles over Bath,Somerset,RAF Pilot,"One object, triangular in shape. Mainly stationary."
2001-01-15,16:00 Reading,,Berkshire,,A bright light that was changing shape and moving fast. Was white in colour. Erratic movements.
2001-01-15,07:30 Kirkcaldy,,Scotland,,"Single object, bright, white light that appeared to be moving North. The object went very bright like an explosion."
2001-01-15,18:00 Southfields,,London,,"Very large white light, which turned the sky blue."
2001-02-06,06:00 St Columb,,North Cornwall,,"Big, bright light in the sky. Was making circular movements and then it hit the ground."
2001-02-09,20:23 Kiltarlity,,Inverness-Shire,,One multi-coloured object. Round at the front and tapered towards the tail. Was moving from left to right.
2001-02-09,06:15 Slough,,Middlesex,,Three elongated objects. They all had a white light at each end. They hovered and then moved in formation to the North.
2001-02-09,20:35 Stevenage,,Hertfordshire,,"One object, shaped like a half circle. There were three lights on it, changing from white to green to red. Whirring sound."
2001-02-09,07:30 South Kirkby,,West Yorkshire,,"A large orange ball, with a triangle like structure inside it and two white lights at the edge."
2001-02-13,02:30 Morton,,Lincolnshire,,"Circle of flashing white light, shaped like a bracelet. Moved over to the right, then left. Lights turned green and red. NW direction."
2001-02-13,10:15 Saltash,,Cornwall,,One object. Point source of light. White in colour. Stationary for about 10 minutes.
2001-02-13,18:45 Liverpool,,Merseyside,,"Four, round objects with orange lights. Very bright. Were moving from left to right."
2001-02-13,22:10 Baschurch,,Shropshire,,"One object, the same size as a star. Multi coloured/very bright. Fluctuating/glowing. Blackhole in centre. Rapid movement."
2001-02-13,21:00 New Milton,,Hampshire,,"Bright orange ball in the sky, which 'hopped', before disappearing."
2001-02-14,00:15 Salisbury,,Wiltshire,,"Very bright, like a shooting star. Tri-angle shaped. Flashing lights - red, purple and green. Moving in a Southerly direction."
2001-02-14,19:15 North Kelsey,,Lincolnshire,,"Looked like very bright stars. They were still, and then moved from side to side."
2001-02-14,20:00 North Muirton/Perth,,Scotland,,Two objects with white lights. The second object seemed dimmer. Moving at 90 degree angles. They moved at high speed.
2001-02-19,23:00 Staithes,,North Yorkshire,,"One, large green ball which was shining brightly. Moving straight downwards - would have hit the sea 3-4 miles from the coast."
