Date,Time,Town,County,Occupation,Description
2001-01-24,17:00 Battle,,East Sussex,,"One round, star shaped object, with one, white flashing light. Very bright. Stationary, but quivering."
2001-01-24,,"19:05 Bush Hill Park, Enfield",Middlesex,,"Bright, silvery light. Delta shape. Very bright. Stationary, then circling, then moving back and forwards."
2001-02-07,19:00 Dumbarton,,Scotland,,Elliptical and bright like a star. Movement within object. Moving slowly.
2001-02-07,19:40 Caernarfon,,North Wales,,"It initially looked like a star. Looked like it was going to crash into the witness's house. Was a green colour, with red on the side."
2001-02-07,"19:45 Amlwch, Anglesey",,North Wales,,"One object, with a blue glow, which then turned green. It broke up and left smoke. It seemed very large."
2001-02-08,19:30,,Staffordshire,,"Object, burning up in the sky, breaking into two-three pieces, looked like a shooting star, but lower in sky. Turned green."
2001-02-08,20:00 Preston,,Lancashire,,"Orange ball in the sky, looked to be on fire. Was coming from an Easterly direction."
2001-02-08,19:40 Lincoln,,Lincolnshire,,The object looked like a rocket. Had a white/orange glow.
2001-02-08,19:20 Duffield,,Derbyshire,,"Large blue, fluorescent, cigar shaped object. The object hovered and then moved away quickly."
2001-02-08,19:42 Wrangle,,Lincolnshire,,"Bright ball one end, about the size of a tennis ball, which was lit up. Behind it, a long tail tapered off with a smaller ball at the end of the object."
2001-02-08,19:45 Scunthorpe,,Lincolnshire,,White ball of light. Was moving from West to East. Stopped and then went up into the sky vertically.
2001-02-08,19:40 Aldborough,,East Yorkshire,,"One, main object which was very bright. White in colour. Stationary"
2001-02-08,19:40,,West Yorkshire,,A huge fireball streaking across the skies of West Yorkshire.
2001-03-01,19:00 Fleetwood,,Lancashire,,"An unconventional silent craft, consisting of four red lights, flying low over the witness's house."
2001-03-01,10:00 Holyhead,,North Wales,,Looked like a bright star. Had a pulsating red and green light. Was stationary and then moved off.
2001-03-01,19:05 Fleetwood,,Lancashire,,"Five flying saucers, that were orange in colour. They moved from East to West and then moved quickly over the sea."
2001-03-20,01:00 Moseley,,West Midlands,,"A very, bright light was seen. A couple of hours later, a dark object was seen with lights underneath."
2001-03-31,18:15 Whaplode,,Lincolnshire,,"Like a bag with two hanging straps, and one lose hanging strap. It was black and changing shape. Was stationary."
2001-04-17,22:00 Nr Montrose,,Scotland,,"Big fans of light, which made a circle. There were flashes in the centre of it. Was stationary."
2001-08-14,11:05 Buxton,,Derbyshire,,"One, size unknown. Circular ring, horizontal with tail, hanging below with a black ball at the bottom."
2001-08-27,21:00 Nantwich,,Cheshire,,Eight to nine smokeless flares. Two were falling - parallel.
2001-08-27,19:35 Poynton,,Cheshire,,Circular object with a depression in the middle. Was a grey/metallic colour. Very bright. It was emitting smoke.
2001-09-09,23:45 Probus,,Cornwall,,"Half a mile long object, very bright. It was slow and moving in anti-clockwise circles."
2001-09-09,04:35 Sheffield,,South Yorkshire,,"The object was very large and about the size of a helicopter, which made no sound. Two consecutive nights"
2001-09-21,04:00 Ashford,,Kent,,The ship/craft moved towards Ashford and then hovered over Ashford for some time. The craft was solid.
2001-09-21,05:30 Ashford,,Kent,,"One triangular shaped object. The size of a 747, maybe bigger. It moved N-Easterly, then became stationary."
2001-12-31,09:00 Leeds,,West Yorkshire,,"Looked like a bright orange tear drop shaped object, that appeared to have lightning coming from its sides."
2001-12-31,20:30 Bingham,,Notts,,"One opal shaped object with lights, that were orange, red, blue and white. Was very bright."
2001-12-31,21:00 Malvern,,Worcestershire,,"One object, the shape of a star. Triangular red lights. There were also yellow and blue rays. Was hovering. Pulsated and then vanished."
2001-12-31,,Castle Donington,Leicestershire,,"A bright, green light was moving at very high speed. The object appeared to land near Kegworth over the M1"
2001-12-31,"18:45 Crewe, Leighton",,Cheshire,,"Silver ball, really bright. Was lower than an aircraft and moving in a straight line. (Message taken 17 Feb 2001)."
2002-01-15,18:00 Preston,,,,"White and red flashing lights, looked like they were zig-zagging, then they came to a stop. Hovered, then moved away."
2002-07-14,18:15,,London,,One pin point object seen that was very bright and was metallic that was reflecting the sunlight. Left a vapour trail behind.
2002-08-12,22:00 Hull,,East Yorkshire,,"One purple and white pulsating jelly fish like object, with smaller light circles surrounding it. A smaller hazy object was attached."
2002-08-21,11:00 Fortrose,,Highlands,,Small torpedo shaped object with a white or silver triangular reflector to one side.
2002-11-11,,23:00 Nottingham,Nottinghamshire,,"Eight objects joined into a circle, then separated. Moved independently, then joined together again in a circle."
2002-12-16,,"02:35 M62, Near Rothwell",West Yorkshire,,"A number of objects - quite large, long, thin and shaped like cuttlefish. Joined to become a rectangular, vertical light, skimming along."
2003-01-29,22:10 Cowbridge,,South Glamorgan,,"A large round disc, slightly smaller than the moon. Creamy white then changed green."
