Date,Time,Town,County,Occupation,Description
2001-01-10,18:22 Norwich,,Norfolk,,"One object that looked a bit like a star at first. It then split into about half a dozen lights, before cloud crossed over them."
2001-01-10,18:30 Dundee,,Scotland,,Two objects. The first was triangular in shape and had three orange lights. The second was a bright white light.
2001-01-10,22:30 Chelmsford,,Essex,,"650-700 objects - appearance of clusters of stars. White and very bright. Arc from horizon to horizon, East to West."
2001-01-13,05:22 Farnborough,,Hampshire,,Bright lights were seen in the sky. Then followed what looked like people climbing down webbing into the house.
2001-01-13,19:00 Liverpool,,Merseyside,,One square shaped object. Orange light in the middle. Was moving from South to the North and then to the West.
2001-02-12,"19:30 Trehafod, Ponty Pridd",,Mid-Glamorgan,,One bright object. Looked star shaped. Rose fast in the sky and then disappeared.
2001-02-12,21:25 Colchester,,Essex,,"One, spherical, with a reddish hue. Very bright and visible the whole time. Zig zagged across the sky, and very fast."
2001-02-16,21:00 Bishops Castle,,Shropshire,,"One object, with red, yellow and green lighting on it. Was flying towards Shrewsbury."
2001-02-16,18:20 Ruskington,,Shropshire,,"Two lights, that were white and constant. They were heading East."
2001-02-16,18:30 Ryhall,,Lincolnshire,,Two large objects. Very bright and the intensity of Saturn. They were moving from North to South.
2001-02-16,18:20 Scarborough,,North Yorkshire,,Two very bright balls of light. They were moving from the West to East.
2001-04-13,23:15 Doncaster,,South Yorkshire,,The object was high in the sky and was described as having headlights along the side of it.
2001-04-13,,Syderstone,Norfolk,,One bright light. Was low on the horizon. Was seen for about 20 minutes.
2001-06-03,02:14 Hitchin,,Hertfordshire,,Saw an object. It was emitting a bright mauve light.
2001-07-04,07:00,,Kent,,One object. Had a bright light too. Was moving from West to East.
2001-09-01,16:30 Wallington,,Surrey,,One object that looked a bit like an inverted U. Moving due West.
2001-10-27,20:30 Great Yarmouth,,Norfolk,,Bright white light with an orange light at the rear.
2002-04-08,,22:00 Walton-on-Thames,Surrey,,One small disc shaped object with red and green flashing lights.
2002-04-08,,08:35 Port Talbot,West Glamorgan,,"One large, round, very bright green object going very fast to the East."
2002-05-13,,22:00 Addlestone,Surrey,,"One very big circular object, that was white and very bright."
2002-05-30,01:50 Dumfries,,,,"One object that was white and very bright. It was moving vertical, very fast."
