Date,Time,Town,County,Occupation,Description
2001-01-05,17:15 Ogwen Valley,,North West Wales,,"Like a shooting star, but with a burning tail. About the size of a military aircraft. It looked like it was heading towards the ground."
2001-01-05,17:30 Hunmanby,,North Yorkshire,,"Twelve objects, pulsating coloured lights. The objects split and moved in different directions."
2001-01-14,21:00 Tarleton,,Lancashire,,A flashing red and blue pulsing light was seen. Then the object glowed orange and started to move towards the ground.
2001-01-15,16:00 Reading,,Berkshire,,A bright light that was changing shape and moving fast. Was white in colour. Erratic movements.
2001-01-15,07:30 Kirkcaldy,,Scotland,,"Single object, bright, white light that appeared to be moving North. The object went very bright like an explosion."
2001-01-15,18:00 Southfields,,London,,"Very large white light, which turned the sky blue."
2001-01-28,20:20 Liverpool,,Merseyside,,An orange object was seen to do circuits around the Liverpool area. There were flames coming out the front with burning bits falling off of it.
2001-01-28,20:20 Childwall/Liverpool,,Merseyside,,"An object, was moving slowly from left to right. The object had an orange glow. Had lights on it."
2001-01-28,09:34 Folkestone,,Kent,,"A silver spin top, bobbing at a height of 300 feet. Was about the size of a football."
2001-02-09,20:23 Kiltarlity,,Inverness-Shire,,One multi-coloured object. Round at the front and tapered towards the tail. Was moving from left to right.
2001-02-09,06:15 Slough,,Middlesex,,Three elongated objects. They all had a white light at each end. They hovered and then moved in formation to the North.
2001-02-09,20:35 Stevenage,,Hertfordshire,,"One object, shaped like a half circle. There were three lights on it, changing from white to green to red. Whirring sound."
2001-02-09,07:30 South Kirkby,,West Yorkshire,,"A large orange ball, with a triangle like structure inside it and two white lights at the edge."
2001-02-13,02:30 Morton,,Lincolnshire,,"Circle of flashing white light, shaped like a bracelet. Moved over to the right, then left. Lights turned green and red. NW direction."
2001-02-13,10:15 Saltash,,Cornwall,,One object. Point source of light. White in colour. Stationary for about 10 minutes.
2001-02-13,18:45 Liverpool,,Merseyside,,"Four, round objects with orange lights. Very bright. Were moving from left to right."
2001-02-13,22:10 Baschurch,,Shropshire,,"One object, the same size as a star. Multi coloured/very bright. Fluctuating/glowing. Blackhole in centre. Rapid movement."
2001-02-13,21:00 New Milton,,Hampshire,,"Bright orange ball in the sky, which 'hopped', before disappearing."
2001-02-16,21:00 Bishops Castle,,Shropshire,,"One object, with red, yellow and green lighting on it. Was flying towards Shrewsbury."
2001-02-16,18:20 Ruskington,,Shropshire,,"Two lights, that were white and constant. They were heading East."
2001-02-16,18:30 Ryhall,,Lincolnshire,,Two large objects. Very bright and the intensity of Saturn. They were moving from North to South.
2001-02-16,18:20 Scarborough,,North Yorkshire,,Two very bright balls of light. They were moving from the West to East.
2001-04-04,21:14 Aberdeen,,Scotland,,"Looked like a star twinkling, but when seen through binoculars, it had a red, orange and blue light."
2001-05-14,06:50 Rhonda Valley,,Wales,,One tennis ball sized object. Was round at the front and had a triangular back. Was rainbow coloured and very bright.
2001-06-04,14:00 Moota/Cockermouth,,Cumbria,,A large triangular craft hovered over a field. Was very colourful with white and red lights.
2001-06-17,22:10 Weston-super-Mare,,Somerset,,"Round, red, glowing ball, which changed colour as it slowed down. A second object then appeared."
2001-07-18,21:15 Milford Haven,,South West Wales,,"Eight star sized objects, with lights that were red, white, blue and yellow. Six were following two."
2001-07-18,,Exmouth,Devon,,"The object was cream coloured. Was travelling at an altitude of about 8,000 feet."
2001-07-18,23:55 Barrhead/Glasgow,,Scotland,,One spherical shaped object. Was orange and yellow. Was stationary for a short amount of time.
