Date,Time,Town,County,Occupation,Description
2001-01-09,14:45 Humberside,,East Yorkshire,,"A silver, cigar shaped object. Was moving near a military aircraft. Was stationary at first."
2001-01-31,21:10 South Clifton,,Nottinghamshire,,"One object, size of a helicopter. Red and white stripes/lights, with wings like a Phantom. Stationary then darted about the woods."
2001-06-19,18:00 Golders Green,,London,,"Sixty - eighty jelly fish shaped objects that were white. There was also one single, pulsating red light amongst them."
2001-10-21,18:15 Torbay,,Devon,,The object was larger than Venus but smaller than the moon. Was very white. Was wiggling from side to side.
2001-10-23,23:40 Dorking,,Surrey,,"A silent helicopter (resembling a sea stallion), shone a light on the witness. There was a low humming noise."
2002-05-31,03:40 Stamford,,Lincolnshire,,"Object with two white lights on the front, a flashing blue light on one side and a purple one on the other."
2002-05-31,18:30 Woking,,Surrey,,"Sausage shape object, that was twenty times larger than a normal aircraft. Had different colours."
2002-05-31,23:00 Harlow,,Essex,,"Two very large disc type aircraft, that were white and had a dull glow."
2002-09-23,,17:40 Huddersfield,West Yorkshire,,"One silver cigar shaped object, that split into six small silver balls. They were travelling erratically, but remained as a group."
2002-09-23,,01:00 St John's Wood,London,,The object was a triangle shape with red flashing/alternating lights that went round the inside edges of the object.
2004-05-20,16:30 Goole,,East Yorkshire,,The object looked like a boomerang and was stationary over a power station. An aircraft was circling the object.
2004-05-20,08:50 Primrose Hill,,London,,The object was a rectangle shape with a white light.
2004-12-27,14:15 Ilford,,Essex,,The object was the size of a round beach ball and black. Looked disc shaped when it became stationary in the sky. Had no wings.
2005-01-31,,17:25 Broxburn/Edinburgh,Lothian,,"Ball of fire, with a tail five to seven times the diameter of the ball. Bright orange with a weaker orange tail. Meteorite?"
2005-01-31,,17:15 Wellingborough,Northants,,"A 'UFO' was seen, and then it changed into a bright light."
2005-09-04,,18:30 Walthamstow,London,,The object was the size of a jumbo jet and was silver.
2005-09-04,02:00 Hurst,,Berkshire,,"The witness didn't see the object, but said that it sounded like a 1930's airship. There was a low humming noise over the house."
2006-09-09,22:00 West Kilbride,,Ayrshire,,Four golden spheres. They drifted - South to North East. The witness said they are definitely solid guided craft.
2006-09-09,22:30 Trestle,,Stafford,,"Looked like a satellite coming into the atmosphere and coming to it's end, but then another object came into view and they started zig-zagging about."
2006-09-09,,Barlaston,Staffordshire,,There was the mother ship and two smaller orbs that were moving around it. One of the orbs was white in colour and the other orange.
2006-09-09,,Barlaston,Staffordshire,,The mother ship was seen again. (The two separate sightings were on one letter).
2006-09-14,19:41 Hastings,,East Sussex,,Two witnesses thought that they saw an alien outside their kitchen window.
2008-03-17,,20:47 Stone Bay area/Broadstairs,Kent,,"An unusual sighting of six orange/red, glowing lights, flying in a linear formation. 
Were flying at normal helicopter height/speed, but were silent."
2008-06-05,,21:30 M56/Altrincham/Warrington,Cheshire,,"At first sight, the object looked like a big, stationary flying saucer. At another angle, 
it then looked like two perfectly formed triangles. They had white lights with a tinge 
of red and green in them, like halogen lights."
2008-06-07,,Shirley/Solihull,West Midlands,,"A giant craft shone a light into the witnesses back window. It shot off fast at first to 
the North East and then started to move at a slow pace."
2008-06-07,18:30 Bridge of Don/Aberdeen,,Aberdeenshire,,"There were lights in the sky, and then they formed into two triangle formations. 
They were very bright. There was a smaller light on each end of the two triangles."
2008-08-01,18:00,Abertillery,Gwent,,"There was an object in the sky that looked like 
a glowing red ball. A strange substance like 
molten metal burst from it as it went 
overhead. It moved without sound."
2008-09-06,20:30,Haslemere,Surrey,,"Two cylindrical objects, each with a red light. 
They were silent and one was moving in front 
of the other. They were moving at helicopter 
speed."
2008-10-13,23:30,Shortstown/Bedford,Bedfordshire,,"A big orange, saucer shaped floating thing 
was in the sky. There were four flashing lights 
on it. It was like a light show. They then 
suddenly stopped flashing. This went on for 
over two hours."
2008-12-31,Not stated,A1/North of Darlington,Cleveland,,"Ten orange/amber orb shaped ships. Some 
were in clusters and some were scattered."
2008-12-31,Not stated,Not stated,Not stated,,"A perfect triangular shaped, stone looking 
object was hovering about twenty foot in the 
sky. It had three lights on each point and the 
front nose cone was a blue light."
2009-01-25,20:44,Stoke on Trent,Staffordshire,,"An orange ball which looked like it came up 
from the ground. It then shot up vertically into 
the sky and disappeared."
2009-01-25,20:00,Chatteris,Cambridgeshire,,"Multiple bright glowing objects, between 5-
10,000 ft heading from South to North."
2009-01-25,22:00,Calne,Wiltshire,,"Five super bright, glowing orange/pink orbs at 
low altitude. They had unusual flying 
characteristics and were totally silent in flight."
2009-01-26,22:55,Malton,North Yorkshire,,"There were circles of white lights with a set of 
fire coming from inside each of them. They 
were like hang gliders, totally quiet. The last 
circle had  a red light. They were in a 
formation."
2009-01-26,22:15,Iver,Buckinghamshire,,"A stream of forty over-roundish lights. They 
were in separate formations, all in straight 
lines. They were a funny orange colour and 
were bright."
2009-01-26,19:45,Southgate,London,,"A large silent squadron of red/orange 
coloured flying craft. There must have been in 
excess of thirty. Maybe more. They were 
flying from West to East."
2009-02-14,23:30,Stickford/Boston,Lincolnshire,,"A cloud type dull light with no noise. 100ft-
200ft from the witness's house. Was moving 
in an arc continuously at speed, from left to 
right."
2009-02-21,17:30,Scunthorpe,Lincolnshire,,"A bright flashing ""star"" in South West sky. Too 
bright for a star. Like a little fireball. It 
repeatedly got bright and then died down. 
Looked big but pretty far aware."
2009-02-23,02:30,Old Colwyn,North wales,,"Bigger than a helicopter, 250 metres up, 
silent, with something like a bar coming off it. 
30 seconds later flew off over the sea followed 
closely by a helicopter"
2009-02-23,18:30,Southgate,London,,"There was a whole procession of lights in the 
sky. Big eight orange balls with a red, flaming 
triangle in the centre of all of them. There was 
no noise."
2009-05-19,Not Given,Old Coulson,Surrey,,"Saw a large shape in the sky. It didn't look like a helicopter but 
sounded like one and was very loud. It hovered for an hour. Then 
headed towards Caterham."
2009-05-19,19:44,Lichfield,Staffordshire,"Air Traffic Control 
employee",A bright yellow light. It vanished for a few seconds then reappeared.
2009-05-23,20:40,Anlaby,Hull,,"A very large ball (looked like a fireball). The object was small, but 
rather far away"
2009-05-23,20:58,Undy,Newport,,"Object had a large light on the front and a smaller red and green 
light on either side, as if on the ends of a planes wings. Base was a 
perfect square and black in colour. It made a quiet humming sound."
2009-05-23,21:40,West Cross,Swansea,,"Large ball of light. Light did not diminish. Very strange. Made no 
sound. Very strange."
