Date,Time,Town,County,Occupation,Description
2001-01-05,17:15 Ogwen Valley,,North West Wales,,"Like a shooting star, but with a burning tail. About the size of a military aircraft. It looked like it was heading towards the ground."
2001-01-05,17:30 Hunmanby,,North Yorkshire,,"Twelve objects, pulsating coloured lights. The objects split and moved in different directions."
2001-01-20,01:15 Canvey Island,,Essex,,"Seven foot, silver dome, with a blue glow. Was climbing vertically in the sky, in stages."
2001-01-28,20:20 Liverpool,,Merseyside,,An orange object was seen to do circuits around the Liverpool area. There were flames coming out the front with burning bits falling off of it.
2001-01-28,20:20 Childwall/Liverpool,,Merseyside,,"An object, was moving slowly from left to right. The object had an orange glow. Had lights on it."
2001-01-28,09:34 Folkestone,,Kent,,"A silver spin top, bobbing at a height of 300 feet. Was about the size of a football."
2001-02-08,19:30,,Staffordshire,,"Object, burning up in the sky, breaking into two-three pieces, looked like a shooting star, but lower in sky. Turned green."
2001-02-08,20:00 Preston,,Lancashire,,"Orange ball in the sky, looked to be on fire. Was coming from an Easterly direction."
2001-02-08,19:40 Lincoln,,Lincolnshire,,The object looked like a rocket. Had a white/orange glow.
2001-02-08,19:20 Duffield,,Derbyshire,,"Large blue, fluorescent, cigar shaped object. The object hovered and then moved away quickly."
2001-02-08,19:42 Wrangle,,Lincolnshire,,"Bright ball one end, about the size of a tennis ball, which was lit up. Behind it, a long tail tapered off with a smaller ball at the end of the object."
2001-02-08,19:45 Scunthorpe,,Lincolnshire,,White ball of light. Was moving from West to East. Stopped and then went up into the sky vertically.
2001-02-08,19:40 Aldborough,,East Yorkshire,,"One, main object which was very bright. White in colour. Stationary"
2001-02-08,19:40,,West Yorkshire,,A huge fireball streaking across the skies of West Yorkshire.
2001-03-29,09:00 Chesham,,Buckinghamshire,,"Two UFOs with flashing red lights. Objects seemed to interfere with the witness's radio and television, while heading South West."
2001-05-24,22:25 Forest Hill,,London,,An alien craft was near to the witness's house. Disc with a beam of light coming from it. Electrical equipment was disturbed.
2001-09-09,23:45 Probus,,Cornwall,,"Half a mile long object, very bright. It was slow and moving in anti-clockwise circles."
2001-09-09,04:35 Sheffield,,South Yorkshire,,"The object was very large and about the size of a helicopter, which made no sound. Two consecutive nights"
2001-11-25,06:20 Inverness,,High Lands,,"One large torpedo shaped object with red and white lights. There were bright lights at the front, and also amber flashing lights."
2001-11-25,06:30 Nairnside,,High Lands,,One roundish shaped object that was glowing white and red.
2001-11-26,11:20 Briton Ferry,,West Glamorgan,,"One silver object, long cylinder hanging from a parachute or balloon, drifting SE. It was very big and very high."
2002-02-14,11:05 Corby,,Northamptonshire,,"A silver object was seen, that appeared to be flying quite low. It was followed by two aeroplanes, with streams of light behind them."
2002-03-01,20:00 Lancaster,,Lancashire,,Six round shimmery spheres were seen racing across the night sky.
2002-04-07,,21:30 Walton-on-Thames,Surrey,,One round object with red and green flashing lights. Bobbing from side to side.
2002-04-07,01:50 Scawby,,Humberside,,"The witness saw a blue light, then yellow shooting stars, followed by a loud bang."
2002-04-15,,03:30 Nottingham,Nottinghamshire,,Three silver triangular objects in a triangle formation. Was closely followed by a Police helicopter.
2002-04-15,21:50 Worcester,,Worcestershire,,"One big, round, bright star - object that was coloured yellow and red. Moved upwards."
2002-08-16,20:12 Brighton,,East Sussex,,"Big flying object, looked like a glider, but when viewed on the camcorder, looked like a big horse tumbling around."
