Date,Time,Town,County,Occupation,Description
2001-01-12,21:15 Tottingham,,East Yorkshire,,Seven objects flying in arrow formation. They were moving at high speed from South to North.
2001-01-12,23:20 Bootle,,Merseyside,,"One object, aircraft type shape. Dark red in colour, quite dim. No sound. Very high up. Moving in fast, small movements."
2001-01-12,,21:00 25-30 miles over Bath,Somerset,RAF Pilot,"One object, triangular in shape. Mainly stationary."
2001-02-09,20:23 Kiltarlity,,Inverness-Shire,,One multi-coloured object. Round at the front and tapered towards the tail. Was moving from left to right.
2001-02-09,06:15 Slough,,Middlesex,,Three elongated objects. They all had a white light at each end. They hovered and then moved in formation to the North.
2001-02-09,20:35 Stevenage,,Hertfordshire,,"One object, shaped like a half circle. There were three lights on it, changing from white to green to red. Whirring sound."
2001-02-09,07:30 South Kirkby,,West Yorkshire,,"A large orange ball, with a triangle like structure inside it and two white lights at the edge."
2001-02-16,21:00 Bishops Castle,,Shropshire,,"One object, with red, yellow and green lighting on it. Was flying towards Shrewsbury."
2001-02-16,18:20 Ruskington,,Shropshire,,"Two lights, that were white and constant. They were heading East."
2001-02-16,18:30 Ryhall,,Lincolnshire,,Two large objects. Very bright and the intensity of Saturn. They were moving from North to South.
2001-02-16,18:20 Scarborough,,North Yorkshire,,Two very bright balls of light. They were moving from the West to East.
2001-02-22,23:00 Woodford Green,,Essex,,"Two small orange lights, far away in the distance. The lights joined and then look bigger. Looked like two sparklers."
2001-02-28,12:00 Whitchurch,,Shropshire,,"A white, circular object with a ring around it. The object moved ten miles in about 2 seconds, then left to right, and then moved East."
2001-03-26,22:45 Leith/Edinburgh,,Scotland,,"Two fuzzy white lights, dancing around each other. They were moving to the East."
2001-04-03,02:35 Chippenham,,Wiltshire,,A pair of bright red lights were moving from the South East towards the North West. Each light had a double flashing pulse.
2001-04-03,22:29 Aberdeen,,Scotland,,"Star like object in the sky. Changing colours - red, blue and green."
2001-06-01,10:30 Glasgow,,Scotland,,A black cylinder. It was moving West and making sharp movements.
2001-06-16,11:30 Diss,,Norfolk,,"A hovering, orange light that was low in the sky. It turned white."
2001-06-25,21:00 Llanelli,,Wales,,"One large, disc shaped object. Black in colour. It then changed to oval shape. The object was moving fast to the West."
2001-06-28,23:59 Eynsham,,Oxfordshire,,"One object, four times the size of a star. Round in shape. Bright light that was yellow/white. Moved North."
2001-06-29,,Sutton Coldfield,West Midlands,,A UFO was floating high up in the sky over Sutton Park.
2001-07-16,10:55 Burton Joyce,,Nottinghamshire,,One round shaped object. Was silver and reflecting the sun. It was high up and bobbed about.
2001-07-18,21:15 Milford Haven,,South West Wales,,"Eight star sized objects, with lights that were red, white, blue and yellow. Six were following two."
2001-07-18,,Exmouth,Devon,,"The object was cream coloured. Was travelling at an altitude of about 8,000 feet."
2001-07-18,23:55 Barrhead/Glasgow,,Scotland,,One spherical shaped object. Was orange and yellow. Was stationary for a short amount of time.
2001-08-21,01:20 Berwick,,Northumbria,,"Four cone shaped objects, which were brightly lit. They were in a line, and moving North East."
2001-10-03,20:40 Plymouth,,Devon,,"Exactly fifty objects, that looked like points of light. Very bright. They were in line formation, and moving from East to West."
2001-12-18,,Stockport,Greater Manchester,,Two grey plumes of smoke in the sky over Stockport Railway Station. A grey triangle was then witnessed.
2001-12-18,20:00 Stockport,,Greater Manchester,,"Red light moving fast, high up in the sky. It slowed down, got fast again and then wobbled from side to side."
2001-12-18,20:50 Crawley,,Sussex,,"The object looked like a rounded triangle, longer at one point, with a giant light in the centre."
2001-12-31,09:00 Leeds,,West Yorkshire,,"Looked like a bright orange tear drop shaped object, that appeared to have lightning coming from its sides."
2001-12-31,20:30 Bingham,,Notts,,"One opal shaped object with lights, that were orange, red, blue and white. Was very bright."
2001-12-31,21:00 Malvern,,Worcestershire,,"One object, the shape of a star. Triangular red lights. There were also yellow and blue rays. Was hovering. Pulsated and then vanished."
2001-12-31,,Castle Donington,Leicestershire,,"A bright, green light was moving at very high speed. The object appeared to land near Kegworth over the M1"
2001-12-31,"18:45 Crewe, Leighton",,Cheshire,,"Silver ball, really bright. Was lower than an aircraft and moving in a straight line. (Message taken 17 Feb 2001)."
